A1:308 , A2:271 , A3:288 , A4:209 , A5:210 , height_photoresistor:7, ultrasonic:0.73
A1:308 , A2:271 , A3:286 , A4:209 , A5:210 , height_photoresistor:7, ultrasonic:0.83
A1:309 , A2:272 , A3:287 , A4:210 , A5:211 , height_photoresistor:7, ultrasonic:0.75
A1:308 , A2:272 , A3:288 , A4:209 , A5:211 , height_photoresistor:7, ultrasonic:0.71
A1:306 , A2:271 , A3:287 , A4:208 , A5:211 , height_photoresistor:7, ultrasonic:0.73
A1:309 , A2:271 , A3:286 , A4:209 , A5:210 , height_photoresistor:7, ultrasonic:0.71
A1:307 , A2:271 , A3:287 , A4:209 , A5:211 , height_photoresistor:7, ultrasonic:0.83
A1:307 , A2:272 , A3:284 , A4:209 , A5:210 , height_photoresistor:7, ultrasonic:0.75
A1:307 , A2:271 , A3:287 , A4:208 , A5:211 , height_photoresistor:7, ultrasonic:0.73
A1:305 , A2:271 , A3:286 , A4:209 , A5:213 , height_photoresistor:7, ultrasonic:0.73
A1:304 , A2:269 , A3:285 , A4:208 , A5:209 , height_photoresistor:7, ultrasonic:0.73
A1:305 , A2:269 , A3:285 , A4:209 , A5:210 , height_photoresistor:7, ultrasonic:0.76
A1:304 , A2:270 , A3:285 , A4:208 , A5:210 , height_photoresistor:7, ultrasonic:0.73
A1:305 , A2:269 , A3:284 , A4:208 , A5:211 , height_photoresistor:7, ultrasonic:0.87
A1:306 , A2:271 , A3:287 , A4:210 , A5:212 , height_photoresistor:7, ultrasonic:0.71
A1:307 , A2:270 , A3:288 , A4:211 , A5:213 , height_photoresistor:7, ultrasonic:0.76
A1:309 , A2:274 , A3:287 , A4:209 , A5:212 , height_photoresistor:7, ultrasonic:0.73
A1:310 , A2:273 , A3:288 , A4:211 , A5:213 , height_photoresistor:7, ultrasonic:0.75
A1:311 , A2:275 , A3:288 , A4:210 , A5:214 , height_photoresistor:7, ultrasonic:0.83
A1:313 , A2:273 , A3:289 , A4:211 , A5:212 , height_photoresistor:7, ultrasonic:0.75
A1:313 , A2:275 , A3:289 , A4:211 , A5:212 , height_photoresistor:7, ultrasonic:0.71
A1:312 , A2:273 , A3:290 , A4:213 , A5:213 , height_photoresistor:7, ultrasonic:0.75
A1:314 , A2:275 , A3:290 , A4:211 , A5:213 , height_photoresistor:7, ultrasonic:0.73
A1:313 , A2:275 , A3:291 , A4:212 , A5:213 , height_photoresistor:7, ultrasonic:0.83
A1:312 , A2:277 , A3:288 , A4:211 , A5:213 , height_photoresistor:7, ultrasonic:0.71
A1:313 , A2:276 , A3:290 , A4:212 , A5:214 , height_photoresistor:7, ultrasonic:0.76
A1:312 , A2:274 , A3:290 , A4:212 , A5:214 , height_photoresistor:7, ultrasonic:0.73
A1:312 , A2:275 , A3:289 , A4:209 , A5:214 , height_photoresistor:7, ultrasonic:0.73
A1:313 , A2:274 , A3:290 , A4:211 , A5:213 , height_photoresistor:7, ultrasonic:0.73
A1:312 , A2:274 , A3:290 , A4:210 , A5:212 , height_photoresistor:7, ultrasonic:0.73
A1:312 , A2:274 , A3:288 , A4:211 , A5:211 , height_photoresistor:7, ultrasonic:0.75
A1:312 , A2:274 , A3:289 , A4:210 , A5:211 , height_photoresistor:7, ultrasonic:0.71
A1:313 , A2:274 , A3:290 , A4:208 , A5:213 , height_photoresistor:7, ultrasonic:0.73
A1:312 , A2:276 , A3:288 , A4:210 , A5:213 , height_photoresistor:7, ultrasonic:0.73
A1:312 , A2:275 , A3:288 , A4:210 , A5:213 , height_photoresistor:7, ultrasonic:0.85
A1:312 , A2:274 , A3:287 , A4:212 , A5:213 , height_photoresistor:7, ultrasonic:0.71
A1:311 , A2:275 , A3:289 , A4:211 , A5:213 , height_photoresistor:7, ultrasonic:0.83
A1:313 , A2:275 , A3:289 , A4:212 , A5:213 , height_photoresistor:7, ultrasonic:0.73
A1:311 , A2:274 , A3:289 , A4:212 , A5:212 , height_photoresistor:7, ultrasonic:0.71
A1:313 , A2:275 , A3:286 , A4:210 , A5:211 , height_photoresistor:7, ultrasonic:0.73
A1:312 , A2:274 , A3:289 , A4:211 , A5:212 , height_photoresistor:7, ultrasonic:0.73
A1:312 , A2:274 , A3:290 , A4:211 , A5:212 , height_photoresistor:7, ultrasonic:0.87
A1:312 , A2:275 , A3:289 , A4:210 , A5:211 , height_photoresistor:7, ultrasonic:0.73
A1:313 , A2:274 , A3:290 , A4:210 , A5:211 , height_photoresistor:7, ultrasonic:0.73
A1:312 , A2:275 , A3:289 , A4:210 , A5:212 , height_photoresistor:7, ultrasonic:0.73
A1:313 , A2:276 , A3:290 , A4:211 , A5:212 , height_photoresistor:7, ultrasonic:0.76
A1:307 , A2:271 , A3:284 , A4:207 , A5:209 , height_photoresistor:7, ultrasonic:0.71
A1:299 , A2:264 , A3:273 , A4:201 , A5:206 , height_photoresistor:7, ultrasonic:0.76
A1:298 , A2:245 , A3:260 , A4:199 , A5:207 , height_photoresistor:7, ultrasonic:0.83
A1:296 , A2:230 , A3:254 , A4:199 , A5:206 , height_photoresistor:7, ultrasonic:0.75
A1:295 , A2:224 , A3:253 , A4:197 , A5:205 , height_photoresistor:7, ultrasonic:0.73
A1:290 , A2:220 , A3:249 , A4:197 , A5:207 , height_photoresistor:7, ultrasonic:0.71
A1:288 , A2:211 , A3:238 , A4:181 , A5:201 , height_photoresistor:7, ultrasonic:1.17
A1:286 , A2:205 , A3:239 , A4:186 , A5:194 , height_photoresistor:7, ultrasonic:10.88
A1:286 , A2:204 , A3:233 , A4:185 , A5:190 , height_photoresistor:7, ultrasonic:1.23
A1:282 , A2:205 , A3:237 , A4:180 , A5:170 , height_photoresistor:7, ultrasonic:3.59
A1:270 , A2:200 , A3:231 , A4:185 , A5:173 , height_photoresistor:7, ultrasonic:-0.52
A1:263 , A2:203 , A3:230 , A4:181 , A5:164 , height_photoresistor:7, ultrasonic:-0.59
A1:254 , A2:201 , A3:232 , A4:181 , A5:171 , height_photoresistor:7, ultrasonic:13.23
A1:250 , A2:201 , A3:234 , A4:180 , A5:165 , height_photoresistor:7, ultrasonic:-2.15
A1:251 , A2:204 , A3:238 , A4:182 , A5:150 , height_photoresistor:7, ultrasonic:-1.00
A1:251 , A2:201 , A3:236 , A4:179 , A5:161 , height_photoresistor:7, ultrasonic:1.55
A1:251 , A2:200 , A3:232 , A4:175 , A5:158 , height_photoresistor:7, ultrasonic:-0.25
A1:251 , A2:198 , A3:222 , A4:181 , A5:153 , height_photoresistor:7, ultrasonic:0.88
A1:250 , A2:200 , A3:230 , A4:174 , A5:142 , height_photoresistor:7, ultrasonic:1.91
A1:250 , A2:201 , A3:236 , A4:179 , A5:127 , height_photoresistor:7, ultrasonic:9.15
A1:256 , A2:207 , A3:240 , A4:181 , A5:119 , height_photoresistor:7, ultrasonic:9.85
A1:262 , A2:216 , A3:247 , A4:184 , A5:121 , height_photoresistor:7, ultrasonic:2.17
A1:267 , A2:224 , A3:261 , A4:187 , A5:121 , height_photoresistor:7, ultrasonic:-4.73
A1:272 , A2:223 , A3:255 , A4:190 , A5:122 , height_photoresistor:7, ultrasonic:3.03
