A1:294 , A2:252 , A3:272 , A4:197 , A5:200 , height_photoresistor:1, ultrasonic:0.73
A1:293 , A2:251 , A3:271 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.73
A1:294 , A2:251 , A3:272 , A4:196 , A5:200 , height_photoresistor:1, ultrasonic:0.73
A1:293 , A2:251 , A3:272 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.73
A1:293 , A2:251 , A3:270 , A4:195 , A5:199 , height_photoresistor:1, ultrasonic:0.85
A1:293 , A2:252 , A3:272 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.75
A1:293 , A2:251 , A3:271 , A4:197 , A5:201 , height_photoresistor:1, ultrasonic:0.73
A1:294 , A2:251 , A3:270 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.73
A1:293 , A2:252 , A3:272 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.73
A1:292 , A2:251 , A3:272 , A4:196 , A5:202 , height_photoresistor:1, ultrasonic:0.76
A1:294 , A2:251 , A3:271 , A4:195 , A5:201 , height_photoresistor:1, ultrasonic:0.73
A1:293 , A2:251 , A3:271 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.88
A1:292 , A2:251 , A3:270 , A4:196 , A5:200 , height_photoresistor:1, ultrasonic:0.73
A1:291 , A2:249 , A3:269 , A4:195 , A5:200 , height_photoresistor:1, ultrasonic:0.88
A1:290 , A2:251 , A3:271 , A4:195 , A5:201 , height_photoresistor:1, ultrasonic:0.75
A1:288 , A2:251 , A3:270 , A4:194 , A5:200 , height_photoresistor:1, ultrasonic:0.76
A1:289 , A2:250 , A3:270 , A4:195 , A5:200 , height_photoresistor:1, ultrasonic:0.71
A1:288 , A2:250 , A3:270 , A4:194 , A5:198 , height_photoresistor:1, ultrasonic:0.76
A1:288 , A2:249 , A3:269 , A4:194 , A5:198 , height_photoresistor:1, ultrasonic:0.85
A1:288 , A2:249 , A3:268 , A4:194 , A5:198 , height_photoresistor:1, ultrasonic:0.76
A1:287 , A2:248 , A3:270 , A4:194 , A5:199 , height_photoresistor:1, ultrasonic:0.73
A1:289 , A2:248 , A3:268 , A4:192 , A5:199 , height_photoresistor:1, ultrasonic:0.78
A1:288 , A2:249 , A3:271 , A4:194 , A5:199 , height_photoresistor:1, ultrasonic:0.73
A1:290 , A2:250 , A3:271 , A4:195 , A5:201 , height_photoresistor:1, ultrasonic:0.76
A1:292 , A2:251 , A3:271 , A4:195 , A5:201 , height_photoresistor:1, ultrasonic:0.75
A1:293 , A2:252 , A3:271 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.85
A1:294 , A2:251 , A3:271 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.73
A1:294 , A2:253 , A3:273 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.76
A1:295 , A2:253 , A3:273 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.73
A1:295 , A2:253 , A3:273 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.73
A1:296 , A2:252 , A3:273 , A4:196 , A5:200 , height_photoresistor:1, ultrasonic:0.85
A1:295 , A2:253 , A3:274 , A4:197 , A5:201 , height_photoresistor:1, ultrasonic:0.75
A1:295 , A2:253 , A3:273 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.83
A1:295 , A2:253 , A3:274 , A4:197 , A5:201 , height_photoresistor:1, ultrasonic:0.75
A1:293 , A2:253 , A3:273 , A4:197 , A5:199 , height_photoresistor:1, ultrasonic:0.75
A1:295 , A2:253 , A3:272 , A4:195 , A5:200 , height_photoresistor:1, ultrasonic:0.73
A1:296 , A2:254 , A3:273 , A4:196 , A5:202 , height_photoresistor:1, ultrasonic:0.73
A1:294 , A2:252 , A3:272 , A4:196 , A5:201 , height_photoresistor:1, ultrasonic:0.85
A1:293 , A2:253 , A3:271 , A4:196 , A5:200 , height_photoresistor:1, ultrasonic:0.75
A1:290 , A2:247 , A3:266 , A4:192 , A5:195 , height_photoresistor:1, ultrasonic:0.73
A1:284 , A2:239 , A3:255 , A4:186 , A5:192 , height_photoresistor:1, ultrasonic:0.73
A1:281 , A2:227 , A3:247 , A4:184 , A5:192 , height_photoresistor:1, ultrasonic:0.73
A1:276 , A2:218 , A3:245 , A4:181 , A5:193 , height_photoresistor:1, ultrasonic:0.85
A1:276 , A2:210 , A3:243 , A4:182 , A5:195 , height_photoresistor:1, ultrasonic:0.75
A1:276 , A2:210 , A3:243 , A4:182 , A5:192 , height_photoresistor:1, ultrasonic:0.75
A1:275 , A2:210 , A3:244 , A4:183 , A5:192 , height_photoresistor:1, ultrasonic:0.75
A1:274 , A2:210 , A3:242 , A4:181 , A5:192 , height_photoresistor:1, ultrasonic:0.75
A1:274 , A2:213 , A3:244 , A4:182 , A5:191 , height_photoresistor:1, ultrasonic:0.85
A1:276 , A2:214 , A3:244 , A4:182 , A5:193 , height_photoresistor:1, ultrasonic:0.75
A1:278 , A2:211 , A3:244 , A4:182 , A5:191 , height_photoresistor:1, ultrasonic:0.75
A1:278 , A2:211 , A3:244 , A4:182 , A5:193 , height_photoresistor:1, ultrasonic:0.73
A1:275 , A2:209 , A3:244 , A4:182 , A5:194 , height_photoresistor:1, ultrasonic:0.73
A1:274 , A2:208 , A3:241 , A4:181 , A5:193 , height_photoresistor:1, ultrasonic:0.76
A1:273 , A2:203 , A3:236 , A4:179 , A5:191 , height_photoresistor:1, ultrasonic:0.73
A1:269 , A2:199 , A3:235 , A4:175 , A5:186 , height_photoresistor:1, ultrasonic:0.03
A1:271 , A2:196 , A3:233 , A4:177 , A5:179 , height_photoresistor:1, ultrasonic:-0.18
A1:268 , A2:192 , A3:224 , A4:167 , A5:172 , height_photoresistor:1, ultrasonic:7.49
A1:264 , A2:192 , A3:213 , A4:163 , A5:166 , height_photoresistor:1, ultrasonic:1.67
A1:257 , A2:190 , A3:220 , A4:157 , A5:162 , height_photoresistor:1, ultrasonic:-0.64
A1:252 , A2:190 , A3:221 , A4:168 , A5:147 , height_photoresistor:7, ultrasonic:-1.67
