A1:386 , A2:354 , A3:368 , A4:239 , A5:121 , height_photoresistor:7, ultrasonic:-3.23

A1:388 , A2:354 , A3:370 , A4:239 , A5:123 , height_photoresistor:7, ultrasonic:-3.25

A1:388 , A2:355 , A3:371 , A4:242 , A5:126 , height_photoresistor:7, ultrasonic:-3.13

A1:388 , A2:356 , A3:371 , A4:242 , A5:129 , height_photoresistor:7, ultrasonic:-3.13

A1:388 , A2:355 , A3:370 , A4:241 , A5:130 , height_photoresistor:7, ultrasonic:-3.23

A1:389 , A2:356 , A3:371 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.23

A1:387 , A2:357 , A3:372 , A4:244 , A5:134 , height_photoresistor:7, ultrasonic:-3.22

A1:388 , A2:356 , A3:370 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.08

A1:389 , A2:356 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.25

A1:389 , A2:355 , A3:371 , A4:244 , A5:130 , height_photoresistor:7, ultrasonic:-3.25

A1:388 , A2:355 , A3:371 , A4:242 , A5:127 , height_photoresistor:7, ultrasonic:-3.13

A1:389 , A2:357 , A3:372 , A4:243 , A5:128 , height_photoresistor:7, ultrasonic:-3.10

A1:388 , A2:356 , A3:371 , A4:243 , A5:128 , height_photoresistor:7, ultrasonic:-3.23

A1:388 , A2:356 , A3:371 , A4:242 , A5:128 , height_photoresistor:7, ultrasonic:-3.22

A1:390 , A2:357 , A3:371 , A4:242 , A5:128 , height_photoresistor:7, ultrasonic:-3.13

A1:388 , A2:356 , A3:371 , A4:242 , A5:128 , height_photoresistor:7, ultrasonic:-3.13

A1:387 , A2:356 , A3:370 , A4:242 , A5:127 , height_photoresistor:7, ultrasonic:-3.25

A1:390 , A2:356 , A3:372 , A4:241 , A5:128 , height_photoresistor:7, ultrasonic:-3.25

A1:387 , A2:356 , A3:372 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.10

A1:388 , A2:357 , A3:371 , A4:242 , A5:133 , height_photoresistor:7, ultrasonic:-3.08

A1:389 , A2:357 , A3:371 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.68

A1:388 , A2:350 , A3:372 , A4:245 , A5:134 , height_photoresistor:7, ultrasonic:-3.68

A1:389 , A2:356 , A3:370 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.13

A1:389 , A2:357 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.23

A1:388 , A2:356 , A3:372 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.23

A1:388 , A2:356 , A3:371 , A4:242 , A5:133 , height_photoresistor:7, ultrasonic:-3.10

A1:390 , A2:358 , A3:371 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.13

A1:388 , A2:355 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.25

A1:387 , A2:356 , A3:371 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.68

A1:389 , A2:357 , A3:372 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.52

A1:388 , A2:357 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.10

A1:387 , A2:355 , A3:371 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.23

A1:390 , A2:357 , A3:371 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.64

A1:389 , A2:356 , A3:371 , A4:244 , A5:134 , height_photoresistor:7, ultrasonic:-3.54

A1:388 , A2:356 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.54

A1:390 , A2:357 , A3:372 , A4:243 , A5:134 , height_photoresistor:7, ultrasonic:-3.27

A1:389 , A2:356 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.27

A1:387 , A2:357 , A3:370 , A4:243 , A5:134 , height_photoresistor:7, ultrasonic:-3.10

A1:390 , A2:356 , A3:371 , A4:243 , A5:132 , height_photoresistor:7, ultrasonic:-3.10

A1:388 , A2:357 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.25

A1:388 , A2:356 , A3:372 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.68

A1:390 , A2:356 , A3:371 , A4:243 , A5:134 , height_photoresistor:7, ultrasonic:-3.13

A1:389 , A2:358 , A3:372 , A4:244 , A5:132 , height_photoresistor:7, ultrasonic:-3.64

A1:387 , A2:357 , A3:371 , A4:244 , A5:133 , height_photoresistor:7, ultrasonic:-3.64

A1:389 , A2:358 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.10

A1:389 , A2:357 , A3:371 , A4:244 , A5:134 , height_photoresistor:7, ultrasonic:-3.54

A1:387 , A2:356 , A3:371 , A4:243 , A5:133 , height_photoresistor:7, ultrasonic:-3.68

A1:389 , A2:356 , A3:371 , A4:243 , A5:134 , height_photoresistor:7, ultrasonic:-3.25

