GPRS disabled. running localy

A1:379 , A2:275 , A3:281 , A4:179 , A5:169 , height_photoresistor:11, ultrasonic:-0.08

A1:375 , A2:275 , A3:280 , A4:180 , A5:170 , height_photoresistor:11, ultrasonic:0.06

A1:377 , A2:275 , A3:280 , A4:180 , A5:171 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:275 , A3:282 , A4:180 , A5:170 , height_photoresistor:11, ultrasonic:-0.03

A1:376 , A2:276 , A3:281 , A4:179 , A5:172 , height_photoresistor:11, ultrasonic:0.08

A1:378 , A2:275 , A3:282 , A4:180 , A5:172 , height_photoresistor:11, ultrasonic:-0.08

A1:378 , A2:275 , A3:283 , A4:180 , A5:172 , height_photoresistor:11, ultrasonic:0.01

A1:374 , A2:275 , A3:283 , A4:180 , A5:172 , height_photoresistor:11, ultrasonic:-0.06

A1:375 , A2:275 , A3:280 , A4:180 , A5:172 , height_photoresistor:11, ultrasonic:-0.08

A1:376 , A2:275 , A3:281 , A4:180 , A5:171 , height_photoresistor:11, ultrasonic:0.09

A1:374 , A2:274 , A3:280 , A4:179 , A5:168 , height_photoresistor:11, ultrasonic:-0.06

A1:376 , A2:274 , A3:279 , A4:179 , A5:168 , height_photoresistor:11, ultrasonic:-0.06

A1:376 , A2:274 , A3:280 , A4:179 , A5:169 , height_photoresistor:11, ultrasonic:-0.03

A1:375 , A2:274 , A3:281 , A4:180 , A5:168 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:274 , A3:280 , A4:178 , A5:169 , height_photoresistor:11, ultrasonic:0.08

A1:376 , A2:275 , A3:282 , A4:181 , A5:170 , height_photoresistor:11, ultrasonic:-0.03

A1:374 , A2:274 , A3:281 , A4:178 , A5:172 , height_photoresistor:11, ultrasonic:-0.08

A1:377 , A2:275 , A3:281 , A4:179 , A5:170 , height_photoresistor:11, ultrasonic:-0.06

A1:376 , A2:276 , A3:282 , A4:181 , A5:171 , height_photoresistor:11, ultrasonic:-0.03

A1:375 , A2:274 , A3:281 , A4:181 , A5:171 , height_photoresistor:11, ultrasonic:0.08

A1:378 , A2:276 , A3:281 , A4:180 , A5:171 , height_photoresistor:11, ultrasonic:-0.03

A1:377 , A2:275 , A3:283 , A4:182 , A5:170 , height_photoresistor:11, ultrasonic:-0.08

A1:376 , A2:275 , A3:282 , A4:181 , A5:170 , height_photoresistor:11, ultrasonic:-0.08

A1:377 , A2:274 , A3:281 , A4:180 , A5:171 , height_photoresistor:11, ultrasonic:0.01

A1:377 , A2:274 , A3:282 , A4:181 , A5:170 , height_photoresistor:11, ultrasonic:0.06

A1:376 , A2:275 , A3:281 , A4:180 , A5:170 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:275 , A3:281 , A4:180 , A5:171 , height_photoresistor:11, ultrasonic:-0.03

A1:377 , A2:275 , A3:282 , A4:181 , A5:171 , height_photoresistor:11, ultrasonic:-0.08

A1:376 , A2:275 , A3:282 , A4:181 , A5:170 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:276 , A3:281 , A4:180 , A5:171 , height_photoresistor:11, ultrasonic:0.09

A1:377 , A2:276 , A3:282 , A4:182 , A5:170 , height_photoresistor:11, ultrasonic:-0.08

A1:376 , A2:275 , A3:282 , A4:180 , A5:170 , height_photoresistor:11, ultrasonic:0.06

A1:377 , A2:276 , A3:283 , A4:181 , A5:170 , height_photoresistor:11, ultrasonic:-0.04

A1:377 , A2:275 , A3:283 , A4:182 , A5:171 , height_photoresistor:11, ultrasonic:-0.08

A1:377 , A2:275 , A3:282 , A4:182 , A5:171 , height_photoresistor:11, ultrasonic:0.08

A1:378 , A2:277 , A3:283 , A4:182 , A5:172 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:277 , A3:284 , A4:182 , A5:172 , height_photoresistor:11, ultrasonic:0.06

A1:376 , A2:277 , A3:282 , A4:182 , A5:172 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:278 , A3:283 , A4:183 , A5:172 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:278 , A3:284 , A4:182 , A5:172 , height_photoresistor:11, ultrasonic:0.08

A1:377 , A2:277 , A3:283 , A4:182 , A5:172 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:277 , A3:283 , A4:183 , A5:173 , height_photoresistor:11, ultrasonic:-0.08

A1:377 , A2:277 , A3:285 , A4:182 , A5:174 , height_photoresistor:11, ultrasonic:-0.08

A1:376 , A2:278 , A3:282 , A4:182 , A5:172 , height_photoresistor:11, ultrasonic:-0.04

A1:378 , A2:277 , A3:284 , A4:182 , A5:173 , height_photoresistor:11, ultrasonic:0.06

A1:378 , A2:277 , A3:284 , A4:183 , A5:174 , height_photoresistor:11, ultrasonic:-0.08

A1:377 , A2:276 , A3:283 , A4:182 , A5:174 , height_photoresistor:11, ultrasonic:0.11

A1:379 , A2:278 , A3:284 , A4:182 , A5:172 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:278 , A3:284 , A4:183 , A5:174 , height_photoresistor:11, ultrasonic:-0.08

A1:377 , A2:277 , A3:283 , A4:182 , A5:173 , height_photoresistor:11, ultrasonic:0.09

A1:378 , A2:278 , A3:284 , A4:183 , A5:173 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:277 , A3:284 , A4:183 , A5:174 , height_photoresistor:11, ultrasonic:-0.08

A1:376 , A2:277 , A3:284 , A4:183 , A5:173 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:277 , A3:284 , A4:183 , A5:173 , height_photoresistor:11, ultrasonic:-0.08

A1:377 , A2:277 , A3:283 , A4:184 , A5:174 , height_photoresistor:11, ultrasonic:0.08

A1:378 , A2:277 , A3:283 , A4:184 , A5:173 , height_photoresistor:11, ultrasonic:0.01

A1:378 , A2:278 , A3:284 , A4:183 , A5:173 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:277 , A3:284 , A4:183 , A5:174 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:276 , A3:283 , A4:182 , A5:173 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:278 , A3:283 , A4:183 , A5:173 , height_photoresistor:11, ultrasonic:0.06

A1:378 , A2:278 , A3:284 , A4:184 , A5:174 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:276 , A3:283 , A4:181 , A5:172 , height_photoresistor:11, ultrasonic:-0.04

A1:377 , A2:276 , A3:284 , A4:182 , A5:171 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:277 , A3:283 , A4:182 , A5:173 , height_photoresistor:11, ultrasonic:-0.04

A1:377 , A2:277 , A3:283 , A4:182 , A5:173 , height_photoresistor:11, ultrasonic:-0.01

A1:378 , A2:276 , A3:283 , A4:181 , A5:172 , height_photoresistor:11, ultrasonic:-0.08

A1:378 , A2:276 , A3:282 , A4:182 , A5:172 , height_photoresistor:11, ultrasonic:0.09

A1:377 , A2:277 , A3:283 , A4:182 , A5:172 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:278 , A3:284 , A4:182 , A5:172 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:278 , A3:282 , A4:182 , A5:173 , height_photoresistor:11, ultrasonic:0.09

A1:377 , A2:277 , A3:284 , A4:183 , A5:172 , height_photoresistor:11, ultrasonic:-0.06

A1:380 , A2:278 , A3:285 , A4:183 , A5:171 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:277 , A3:285 , A4:181 , A5:170 , height_photoresistor:11, ultrasonic:-0.04

A1:376 , A2:277 , A3:283 , A4:180 , A5:168 , height_photoresistor:11, ultrasonic:-0.06

A1:380 , A2:278 , A3:284 , A4:180 , A5:168 , height_photoresistor:11, ultrasonic:0.08

A1:378 , A2:278 , A3:282 , A4:178 , A5:167 , height_photoresistor:11, ultrasonic:-0.03

A1:379 , A2:278 , A3:282 , A4:176 , A5:164 , height_photoresistor:11, ultrasonic:-0.08

A1:379 , A2:278 , A3:283 , A4:177 , A5:165 , height_photoresistor:11, ultrasonic:0.08

A1:378 , A2:278 , A3:283 , A4:177 , A5:165 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:277 , A3:282 , A4:177 , A5:165 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:279 , A3:281 , A4:178 , A5:164 , height_photoresistor:11, ultrasonic:-0.08

A1:378 , A2:276 , A3:282 , A4:178 , A5:166 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:276 , A3:282 , A4:179 , A5:164 , height_photoresistor:11, ultrasonic:0.08

A1:379 , A2:278 , A3:283 , A4:180 , A5:166 , height_photoresistor:11, ultrasonic:-0.08

A1:377 , A2:277 , A3:282 , A4:179 , A5:167 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:276 , A3:283 , A4:179 , A5:166 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:277 , A3:282 , A4:179 , A5:166 , height_photoresistor:11, ultrasonic:-0.03

A1:376 , A2:276 , A3:284 , A4:179 , A5:168 , height_photoresistor:11, ultrasonic:-0.06

A1:377 , A2:276 , A3:283 , A4:180 , A5:168 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:277 , A3:283 , A4:180 , A5:167 , height_photoresistor:11, ultrasonic:0.09

A1:377 , A2:276 , A3:283 , A4:180 , A5:167 , height_photoresistor:11, ultrasonic:-0.08

A1:378 , A2:277 , A3:283 , A4:180 , A5:167 , height_photoresistor:11, ultrasonic:-0.08

A1:378 , A2:278 , A3:285 , A4:179 , A5:168 , height_photoresistor:11, ultrasonic:0.09

A1:378 , A2:276 , A3:285 , A4:180 , A5:167 , height_photoresistor:11, ultrasonic:-0.06

A1:378 , A2:279 , A3:284 , A4:181 , A5:168 , height_photoresistor:11, ultrasonic:-0.08

A1:379 , A2:278 , A3:284 , A4:180 , A5:168 , height_photoresistor:11, ultrasonic:-0.03

A1:378 , A2:277 , A3:283 , A4:180 , A5:166 , height_photoresistor:11, ultrasonic:-0.08

A1:358 , A2:274 , A3:281 , A4:178 , A5:164 , height_photoresistor:11, ultrasonic:-0.03

A1:327 , A2:247 , A3:268 , A4:172 , A5:162 , height_photoresistor:11, ultrasonic:-0.06

A1:334 , A2:231 , A3:259 , A4:167 , A5:158 , height_photoresistor:11, ultrasonic:0.08

A1:342 , A2:228 , A3:257 , A4:165 , A5:157 , height_photoresistor:11, ultrasonic:-0.06

A1:342 , A2:226 , A3:256 , A4:167 , A5:158 , height_photoresistor:11, ultrasonic:0.08

A1:337 , A2:226 , A3:256 , A4:165 , A5:157 , height_photoresistor:11, ultrasonic:-0.04

A1:332 , A2:224 , A3:256 , A4:165 , A5:157 , height_photoresistor:11, ultrasonic:-0.08

A1:321 , A2:220 , A3:253 , A4:163 , A5:157 , height_photoresistor:11, ultrasonic:0.39

A1:311 , A2:213 , A3:247 , A4:160 , A5:156 , height_photoresistor:11, ultrasonic:-0.03

A1:296 , A2:213 , A3:244 , A4:158 , A5:154 , height_photoresistor:11, ultrasonic:0.08

A1:285 , A2:210 , A3:238 , A4:152 , A5:150 , height_photoresistor:11, ultrasonic:0.39

A1:276 , A2:202 , A3:234 , A4:150 , A5:140 , height_photoresistor:11, ultrasonic:0.11

A1:272 , A2:199 , A3:224 , A4:145 , A5:135 , height_photoresistor:11, ultrasonic:0.80

A1:272 , A2:201 , A3:224 , A4:144 , A5:125 , height_photoresistor:11, ultrasonic:0.44

A1:275 , A2:204 , A3:229 , A4:138 , A5:124 , height_photoresistor:11, ultrasonic:0.44

A1:277 , A2:214 , A3:203 , A4:144 , A5:120 , height_photoresistor:11, ultrasonic:7.73

A1:278 , A2:216 , A3:227 , A4:136 , A5:123 , height_photoresistor:11, ultrasonic:-7.61

A1:270 , A2:215 , A3:236 , A4:144 , A5:102 , height_photoresistor:7, ultrasonic:5.24

A1:267 , A2:215 , A3:236 , A4:141 , A5:90 , height_photoresistor:7, ultrasonic:5.75

A1:269 , A2:205 , A3:218 , A4:124 , A5:98 , height_photoresistor:7, ultrasonic:0.95

A1:274 , A2:205 , A3:218 , A4:118 , A5:75 , height_photoresistor:7, ultrasonic:9.34

A1:275 , A2:206 , A3:223 , A4:136 , A5:74 , height_photoresistor:7, ultrasonic:2.58

A1:277 , A2:224 , A3:229 , A4:138 , A5:73 , height_photoresistor:7, ultrasonic:5.87

A1:279 , A2:233 , A3:236 , A4:146 , A5:65 , height_photoresistor:7, ultrasonic:2.48

A1:277 , A2:233 , A3:232 , A4:137 , A5:57 , height_photoresistor:7, ultrasonic:2.39

A1:275 , A2:226 , A3:222 , A4:132 , A5:58 , height_photoresistor:7, ultrasonic:0.80

A1:286 , A2:235 , A3:227 , A4:138 , A5:49 , height_photoresistor:7, ultrasonic:-2.22

A1:296 , A2:245 , A3:232 , A4:147 , A5:45 , height_photoresistor:7, ultrasonic:2.74

A1:304 , A2:256 , A3:254 , A4:150 , A5:45 , height_photoresistor:7, ultrasonic:-2.26

A1:348 , A2:263 , A3:268 , A4:158 , A5:45 , height_photoresistor:7, ultrasonic:0.68

A1:362 , A2:266 , A3:273 , A4:165 , A5:46 , height_photoresistor:7, ultrasonic:-9.60

