A1:375 , A2:338 , A3:351 , A4:253 , A5:236 , height_photoresistor:7, ultrasonic:0.83
A1:375 , A2:338 , A3:352 , A4:254 , A5:235 , height_photoresistor:7, ultrasonic:0.73
A1:375 , A2:338 , A3:349 , A4:253 , A5:234 , height_photoresistor:7, ultrasonic:0.71
A1:375 , A2:340 , A3:352 , A4:253 , A5:235 , height_photoresistor:7, ultrasonic:0.73
A1:374 , A2:338 , A3:350 , A4:254 , A5:235 , height_photoresistor:7, ultrasonic:0.73
A1:374 , A2:338 , A3:350 , A4:255 , A5:235 , height_photoresistor:7, ultrasonic:0.83
A1:374 , A2:339 , A3:351 , A4:255 , A5:235 , height_photoresistor:7, ultrasonic:0.73
A1:373 , A2:339 , A3:349 , A4:254 , A5:236 , height_photoresistor:7, ultrasonic:0.73
A1:375 , A2:338 , A3:349 , A4:255 , A5:234 , height_photoresistor:7, ultrasonic:0.73
A1:374 , A2:340 , A3:351 , A4:255 , A5:235 , height_photoresistor:7, ultrasonic:0.75
A1:373 , A2:339 , A3:350 , A4:254 , A5:236 , height_photoresistor:7, ultrasonic:0.83
A1:376 , A2:338 , A3:351 , A4:255 , A5:234 , height_photoresistor:7, ultrasonic:0.75
A1:375 , A2:339 , A3:351 , A4:254 , A5:235 , height_photoresistor:7, ultrasonic:0.71
A1:374 , A2:338 , A3:350 , A4:254 , A5:234 , height_photoresistor:7, ultrasonic:0.73
A1:374 , A2:339 , A3:351 , A4:253 , A5:234 , height_photoresistor:7, ultrasonic:0.71
A1:372 , A2:336 , A3:349 , A4:250 , A5:234 , height_photoresistor:7, ultrasonic:0.85
A1:373 , A2:337 , A3:347 , A4:251 , A5:232 , height_photoresistor:7, ultrasonic:0.73
A1:372 , A2:336 , A3:349 , A4:251 , A5:233 , height_photoresistor:7, ultrasonic:0.83
A1:373 , A2:336 , A3:349 , A4:251 , A5:235 , height_photoresistor:7, ultrasonic:0.73
A1:374 , A2:339 , A3:349 , A4:249 , A5:234 , height_photoresistor:7, ultrasonic:0.73
A1:375 , A2:338 , A3:350 , A4:254 , A5:234 , height_photoresistor:7, ultrasonic:0.75
A1:376 , A2:338 , A3:349 , A4:253 , A5:235 , height_photoresistor:7, ultrasonic:0.73
A1:376 , A2:340 , A3:350 , A4:255 , A5:234 , height_photoresistor:7, ultrasonic:0.85
A1:374 , A2:338 , A3:351 , A4:254 , A5:235 , height_photoresistor:7, ultrasonic:0.73
A1:375 , A2:340 , A3:351 , A4:255 , A5:236 , height_photoresistor:7, ultrasonic:0.73
A1:377 , A2:339 , A3:351 , A4:255 , A5:235 , height_photoresistor:7, ultrasonic:0.73
