A1:377 , A2:309 , A3:313 , A4:191 , A5:177 , height_photoresistor:7, ultrasonic:-0.04

A1:377 , A2:309 , A3:314 , A4:191 , A5:177 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:310 , A3:314 , A4:192 , A5:176 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:308 , A3:312 , A4:192 , A5:177 , height_photoresistor:7, ultrasonic:-0.04

A1:378 , A2:310 , A3:314 , A4:191 , A5:177 , height_photoresistor:7, ultrasonic:0.09

A1:376 , A2:310 , A3:315 , A4:191 , A5:177 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:309 , A3:314 , A4:191 , A5:176 , height_photoresistor:7, ultrasonic:-0.08

A1:378 , A2:309 , A3:313 , A4:191 , A5:176 , height_photoresistor:7, ultrasonic:-0.08

A1:377 , A2:309 , A3:315 , A4:192 , A5:177 , height_photoresistor:7, ultrasonic:-0.01

A1:376 , A2:309 , A3:314 , A4:192 , A5:175 , height_photoresistor:7, ultrasonic:0.09

A1:378 , A2:309 , A3:315 , A4:192 , A5:177 , height_photoresistor:7, ultrasonic:-0.04

A1:377 , A2:309 , A3:315 , A4:191 , A5:177 , height_photoresistor:7, ultrasonic:-0.03

A1:376 , A2:309 , A3:313 , A4:191 , A5:176 , height_photoresistor:7, ultrasonic:0.08

A1:377 , A2:310 , A3:314 , A4:192 , A5:176 , height_photoresistor:7, ultrasonic:-0.49

A1:376 , A2:309 , A3:314 , A4:192 , A5:177 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:309 , A3:314 , A4:191 , A5:177 , height_photoresistor:7, ultrasonic:0.09

A1:377 , A2:309 , A3:314 , A4:191 , A5:176 , height_photoresistor:7, ultrasonic:-0.06

A1:376 , A2:309 , A3:314 , A4:193 , A5:176 , height_photoresistor:7, ultrasonic:0.04

A1:376 , A2:308 , A3:314 , A4:192 , A5:177 , height_photoresistor:7, ultrasonic:-0.03

A1:378 , A2:310 , A3:315 , A4:192 , A5:176 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:310 , A3:315 , A4:192 , A5:176 , height_photoresistor:7, ultrasonic:0.09

A1:376 , A2:309 , A3:313 , A4:191 , A5:175 , height_photoresistor:7, ultrasonic:-0.03

A1:377 , A2:309 , A3:315 , A4:190 , A5:175 , height_photoresistor:7, ultrasonic:-0.08

A1:375 , A2:309 , A3:314 , A4:191 , A5:175 , height_photoresistor:7, ultrasonic:-0.06

A1:377 , A2:309 , A3:314 , A4:191 , A5:176 , height_photoresistor:7, ultrasonic:-0.03

A1:378 , A2:309 , A3:314 , A4:190 , A5:175 , height_photoresistor:7, ultrasonic:0.09

A1:377 , A2:308 , A3:313 , A4:190 , A5:177 , height_photoresistor:7, ultrasonic:-0.01

A1:377 , A2:308 , A3:311 , A4:189 , A5:177 , height_photoresistor:7, ultrasonic:-0.03

A1:378 , A2:308 , A3:311 , A4:191 , A5:177 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:307 , A3:312 , A4:190 , A5:177 , height_photoresistor:7, ultrasonic:-0.01

A1:376 , A2:307 , A3:310 , A4:188 , A5:175 , height_photoresistor:7, ultrasonic:0.08

A1:377 , A2:307 , A3:311 , A4:189 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:375 , A2:307 , A3:312 , A4:187 , A5:171 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:307 , A3:310 , A4:186 , A5:169 , height_photoresistor:7, ultrasonic:-0.32

A1:376 , A2:307 , A3:311 , A4:186 , A5:169 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:307 , A3:311 , A4:186 , A5:168 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:306 , A3:311 , A4:187 , A5:169 , height_photoresistor:7, ultrasonic:-0.08

A1:377 , A2:305 , A3:312 , A4:187 , A5:169 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:306 , A3:310 , A4:188 , A5:172 , height_photoresistor:7, ultrasonic:0.11

A1:375 , A2:307 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:377 , A2:306 , A3:311 , A4:189 , A5:173 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:306 , A3:311 , A4:188 , A5:173 , height_photoresistor:7, ultrasonic:-0.06

A1:375 , A2:305 , A3:309 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:375 , A2:306 , A3:311 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:0.09

A1:373 , A2:306 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:306 , A3:311 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:305 , A3:310 , A4:188 , A5:173 , height_photoresistor:7, ultrasonic:-0.01

A1:375 , A2:305 , A3:310 , A4:186 , A5:173 , height_photoresistor:7, ultrasonic:0.09

A1:376 , A2:306 , A3:311 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.06

A1:375 , A2:305 , A3:310 , A4:186 , A5:173 , height_photoresistor:7, ultrasonic:0.09

A1:376 , A2:306 , A3:310 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:307 , A3:311 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:306 , A3:310 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.09

A1:376 , A2:306 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:306 , A3:310 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:0.08

A1:374 , A2:305 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:307 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:0.09

A1:376 , A2:306 , A3:311 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:373 , A2:306 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:306 , A3:310 , A4:185 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:305 , A3:311 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:305 , A3:309 , A4:187 , A5:171 , height_photoresistor:7, ultrasonic:-0.04

A1:379 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:306 , A3:311 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.06

A1:374 , A2:305 , A3:310 , A4:186 , A5:173 , height_photoresistor:7, ultrasonic:0.09

A1:376 , A2:307 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:307 , A3:310 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:0.06

A1:374 , A2:306 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:306 , A3:310 , A4:187 , A5:171 , height_photoresistor:7, ultrasonic:-0.01

A1:374 , A2:306 , A3:311 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:373 , A2:306 , A3:310 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:307 , A3:311 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:0.09

A1:375 , A2:306 , A3:310 , A4:188 , A5:173 , height_photoresistor:7, ultrasonic:-0.03

A1:374 , A2:305 , A3:310 , A4:186 , A5:173 , height_photoresistor:7, ultrasonic:-0.08

A1:376 , A2:306 , A3:311 , A4:188 , A5:172 , height_photoresistor:7, ultrasonic:-0.01

A1:374 , A2:305 , A3:311 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.08

A1:374 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:0.08

A1:377 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:375 , A2:305 , A3:309 , A4:185 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:377 , A2:307 , A3:311 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.49

A1:374 , A2:305 , A3:310 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:0.09

A1:375 , A2:305 , A3:308 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.01

A1:376 , A2:306 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:374 , A2:306 , A3:310 , A4:187 , A5:171 , height_photoresistor:7, ultrasonic:-0.08

A1:375 , A2:305 , A3:309 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:376 , A2:306 , A3:311 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:0.06

A1:374 , A2:305 , A3:310 , A4:186 , A5:173 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:305 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:305 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:373 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:374 , A2:306 , A3:309 , A4:186 , A5:171 , height_photoresistor:7, ultrasonic:0.09

A1:376 , A2:305 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:373 , A2:305 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.06

A1:375 , A2:306 , A3:310 , A4:187 , A5:171 , height_photoresistor:7, ultrasonic:0.06

A1:375 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:374 , A2:305 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:374 , A2:306 , A3:309 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:0.13

A1:376 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:305 , A3:309 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:375 , A2:305 , A3:309 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.01

A1:376 , A2:306 , A3:311 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:306 , A3:309 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.37

A1:376 , A2:307 , A3:309 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:0.01

A1:375 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.03

A1:376 , A2:306 , A3:309 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:375 , A2:306 , A3:311 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:305 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.06

A1:375 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.08

A1:376 , A2:306 , A3:311 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.37

A1:375 , A2:304 , A3:309 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.01

A1:376 , A2:305 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:0.09

A1:375 , A2:305 , A3:310 , A4:187 , A5:173 , height_photoresistor:7, ultrasonic:-0.09

A1:374 , A2:305 , A3:309 , A4:186 , A5:173 , height_photoresistor:7, ultrasonic:-0.01

A1:375 , A2:305 , A3:310 , A4:186 , A5:171 , height_photoresistor:7, ultrasonic:-0.03

A1:374 , A2:305 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:304 , A3:309 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:0.08

A1:375 , A2:306 , A3:311 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:305 , A3:309 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:305 , A3:309 , A4:186 , A5:171 , height_photoresistor:7, ultrasonic:-0.03

A1:375 , A2:306 , A3:308 , A4:186 , A5:170 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:305 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:374 , A2:305 , A3:309 , A4:186 , A5:171 , height_photoresistor:7, ultrasonic:-0.04

A1:376 , A2:306 , A3:310 , A4:187 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:306 , A3:310 , A4:187 , A5:171 , height_photoresistor:7, ultrasonic:0.08

A1:375 , A2:305 , A3:310 , A4:186 , A5:172 , height_photoresistor:7, ultrasonic:-0.04

A1:375 , A2:306 , A3:310 , A4:186 , A5:171 , height_photoresistor:7, ultrasonic:-0.08

A1:374 , A2:305 , A3:309 , A4:186 , A5:169 , height_photoresistor:7, ultrasonic:-0.03

A1:373 , A2:303 , A3:303 , A4:184 , A5:168 , height_photoresistor:7, ultrasonic:-0.04

A1:361 , A2:286 , A3:284 , A4:177 , A5:168 , height_photoresistor:7, ultrasonic:0.09

A1:341 , A2:261 , A3:269 , A4:173 , A5:165 , height_photoresistor:7, ultrasonic:-0.01

A1:355 , A2:244 , A3:262 , A4:169 , A5:163 , height_photoresistor:11, ultrasonic:-0.04

A1:364 , A2:239 , A3:260 , A4:168 , A5:163 , height_photoresistor:15, ultrasonic:-0.03

