A1:365 , A2:336 , A3:343 , A4:236 , A5:180 , height_photoresistor:7, ultrasonic:0.85
A1:365 , A2:336 , A3:342 , A4:235 , A5:180 , height_photoresistor:7, ultrasonic:0.76
A1:366 , A2:337 , A3:343 , A4:236 , A5:181 , height_photoresistor:7, ultrasonic:0.73
A1:365 , A2:335 , A3:343 , A4:236 , A5:180 , height_photoresistor:7, ultrasonic:0.76
A1:366 , A2:336 , A3:343 , A4:235 , A5:181 , height_photoresistor:7, ultrasonic:0.73
A1:366 , A2:336 , A3:344 , A4:236 , A5:180 , height_photoresistor:7, ultrasonic:0.88
A1:365 , A2:336 , A3:342 , A4:236 , A5:180 , height_photoresistor:7, ultrasonic:0.75
A1:366 , A2:336 , A3:343 , A4:236 , A5:180 , height_photoresistor:7, ultrasonic:0.87
A1:365 , A2:336 , A3:344 , A4:237 , A5:181 , height_photoresistor:7, ultrasonic:0.75
A1:364 , A2:335 , A3:343 , A4:235 , A5:181 , height_photoresistor:7, ultrasonic:0.73
A1:365 , A2:337 , A3:343 , A4:234 , A5:180 , height_photoresistor:7, ultrasonic:0.75
A1:364 , A2:336 , A3:344 , A4:236 , A5:181 , height_photoresistor:7, ultrasonic:0.75
A1:363 , A2:335 , A3:342 , A4:235 , A5:180 , height_photoresistor:7, ultrasonic:0.73
A1:362 , A2:336 , A3:342 , A4:235 , A5:180 , height_photoresistor:7, ultrasonic:0.75
A1:360 , A2:334 , A3:343 , A4:235 , A5:180 , height_photoresistor:7, ultrasonic:0.83
A1:357 , A2:333 , A3:340 , A4:234 , A5:180 , height_photoresistor:7, ultrasonic:0.75
A1:354 , A2:331 , A3:339 , A4:233 , A5:178 , height_photoresistor:7, ultrasonic:0.73
A1:346 , A2:324 , A3:334 , A4:227 , A5:177 , height_photoresistor:7, ultrasonic:0.75
A1:342 , A2:319 , A3:327 , A4:220 , A5:175 , height_photoresistor:7, ultrasonic:0.75
A1:338 , A2:315 , A3:325 , A4:216 , A5:175 , height_photoresistor:7, ultrasonic:0.83
A1:335 , A2:312 , A3:321 , A4:213 , A5:174 , height_photoresistor:7, ultrasonic:0.75
A1:335 , A2:310 , A3:320 , A4:211 , A5:173 , height_photoresistor:7, ultrasonic:0.87
A1:335 , A2:310 , A3:321 , A4:212 , A5:173 , height_photoresistor:7, ultrasonic:0.73
A1:334 , A2:310 , A3:321 , A4:212 , A5:172 , height_photoresistor:7, ultrasonic:0.75
A1:336 , A2:313 , A3:322 , A4:214 , A5:173 , height_photoresistor:7, ultrasonic:0.75
A1:335 , A2:314 , A3:325 , A4:217 , A5:170 , height_photoresistor:7, ultrasonic:0.75
A1:337 , A2:314 , A3:325 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:0.76
A1:340 , A2:316 , A3:325 , A4:189 , A5:169 , height_photoresistor:7, ultrasonic:0.73
A1:335 , A2:302 , A3:293 , A4:190 , A5:167 , height_photoresistor:7, ultrasonic:0.88
A1:329 , A2:284 , A3:271 , A4:175 , A5:167 , height_photoresistor:7, ultrasonic:0.75
A1:331 , A2:285 , A3:271 , A4:173 , A5:166 , height_photoresistor:7, ultrasonic:0.88
A1:332 , A2:279 , A3:259 , A4:172 , A5:165 , height_photoresistor:7, ultrasonic:0.75
A1:313 , A2:254 , A3:255 , A4:171 , A5:163 , height_photoresistor:7, ultrasonic:0.76
A1:301 , A2:245 , A3:264 , A4:193 , A5:161 , height_photoresistor:7, ultrasonic:0.75
A1:301 , A2:248 , A3:282 , A4:202 , A5:159 , height_photoresistor:7, ultrasonic:0.76
A1:300 , A2:251 , A3:286 , A4:205 , A5:158 , height_photoresistor:7, ultrasonic:0.85
A1:305 , A2:252 , A3:288 , A4:205 , A5:157 , height_photoresistor:7, ultrasonic:0.76
A1:306 , A2:247 , A3:281 , A4:201 , A5:156 , height_photoresistor:7, ultrasonic:0.73
A1:305 , A2:244 , A3:279 , A4:199 , A5:156 , height_photoresistor:7, ultrasonic:0.76
A1:303 , A2:241 , A3:280 , A4:200 , A5:156 , height_photoresistor:7, ultrasonic:0.75
A1:304 , A2:241 , A3:280 , A4:201 , A5:156 , height_photoresistor:7, ultrasonic:0.85
