A1:346 , A2:315 , A3:324 , A4:227 , A5:200 , height_photoresistor:7, ultrasonic:0.75
A1:348 , A2:316 , A3:325 , A4:228 , A5:199 , height_photoresistor:7, ultrasonic:0.75
A1:346 , A2:316 , A3:326 , A4:228 , A5:201 , height_photoresistor:7, ultrasonic:0.73
A1:346 , A2:313 , A3:325 , A4:228 , A5:200 , height_photoresistor:7, ultrasonic:0.76
A1:349 , A2:316 , A3:325 , A4:228 , A5:200 , height_photoresistor:7, ultrasonic:0.75
A1:348 , A2:315 , A3:326 , A4:229 , A5:201 , height_photoresistor:7, ultrasonic:0.75
A1:348 , A2:316 , A3:325 , A4:228 , A5:200 , height_photoresistor:7, ultrasonic:0.73
A1:350 , A2:318 , A3:326 , A4:230 , A5:200 , height_photoresistor:7, ultrasonic:0.87
A1:347 , A2:316 , A3:326 , A4:229 , A5:200 , height_photoresistor:7, ultrasonic:0.73
A1:349 , A2:316 , A3:325 , A4:228 , A5:201 , height_photoresistor:7, ultrasonic:0.76
A1:347 , A2:313 , A3:325 , A4:229 , A5:201 , height_photoresistor:7, ultrasonic:0.73
A1:344 , A2:315 , A3:324 , A4:226 , A5:200 , height_photoresistor:7, ultrasonic:0.73
A1:345 , A2:315 , A3:325 , A4:228 , A5:199 , height_photoresistor:7, ultrasonic:0.75
A1:343 , A2:314 , A3:325 , A4:228 , A5:200 , height_photoresistor:7, ultrasonic:0.73
A1:340 , A2:313 , A3:323 , A4:227 , A5:198 , height_photoresistor:7, ultrasonic:0.73
A1:341 , A2:313 , A3:323 , A4:226 , A5:197 , height_photoresistor:7, ultrasonic:0.73
A1:338 , A2:311 , A3:321 , A4:225 , A5:196 , height_photoresistor:7, ultrasonic:0.85
A1:339 , A2:310 , A3:318 , A4:222 , A5:194 , height_photoresistor:7, ultrasonic:0.73
A1:339 , A2:310 , A3:320 , A4:223 , A5:194 , height_photoresistor:7, ultrasonic:0.75
A1:338 , A2:307 , A3:320 , A4:223 , A5:194 , height_photoresistor:7, ultrasonic:0.73
A1:339 , A2:311 , A3:321 , A4:224 , A5:196 , height_photoresistor:7, ultrasonic:0.76
A1:341 , A2:313 , A3:323 , A4:227 , A5:198 , height_photoresistor:7, ultrasonic:0.73
A1:341 , A2:314 , A3:324 , A4:226 , A5:199 , height_photoresistor:7, ultrasonic:0.76
A1:344 , A2:315 , A3:324 , A4:227 , A5:199 , height_photoresistor:7, ultrasonic:0.85
A1:345 , A2:316 , A3:325 , A4:229 , A5:201 , height_photoresistor:7, ultrasonic:0.76
A1:347 , A2:315 , A3:324 , A4:228 , A5:200 , height_photoresistor:7, ultrasonic:0.85
A1:347 , A2:317 , A3:326 , A4:228 , A5:200 , height_photoresistor:7, ultrasonic:0.76
A1:345 , A2:316 , A3:326 , A4:229 , A5:201 , height_photoresistor:7, ultrasonic:0.73
A1:343 , A2:315 , A3:324 , A4:228 , A5:199 , height_photoresistor:7, ultrasonic:0.73
A1:342 , A2:313 , A3:324 , A4:227 , A5:198 , height_photoresistor:7, ultrasonic:0.73
A1:338 , A2:311 , A3:321 , A4:225 , A5:197 , height_photoresistor:7, ultrasonic:0.83
A1:337 , A2:309 , A3:318 , A4:223 , A5:195 , height_photoresistor:7, ultrasonic:0.73
A1:336 , A2:307 , A3:316 , A4:212 , A5:194 , height_photoresistor:7, ultrasonic:0.73
A1:334 , A2:305 , A3:308 , A4:198 , A5:192 , height_photoresistor:7, ultrasonic:0.75
A1:335 , A2:305 , A3:292 , A4:193 , A5:193 , height_photoresistor:7, ultrasonic:0.73
A1:334 , A2:304 , A3:286 , A4:194 , A5:192 , height_photoresistor:7, ultrasonic:0.73
A1:335 , A2:303 , A3:286 , A4:193 , A5:193 , height_photoresistor:7, ultrasonic:0.73
A1:336 , A2:306 , A3:289 , A4:194 , A5:193 , height_photoresistor:7, ultrasonic:0.83
A1:336 , A2:305 , A3:292 , A4:193 , A5:194 , height_photoresistor:7, ultrasonic:0.73
A1:335 , A2:305 , A3:288 , A4:193 , A5:193 , height_photoresistor:7, ultrasonic:0.85
A1:336 , A2:304 , A3:287 , A4:194 , A5:192 , height_photoresistor:7, ultrasonic:0.73
A1:334 , A2:304 , A3:287 , A4:193 , A5:193 , height_photoresistor:7, ultrasonic:0.73
A1:335 , A2:306 , A3:290 , A4:194 , A5:192 , height_photoresistor:7, ultrasonic:0.75
A1:336 , A2:306 , A3:289 , A4:195 , A5:193 , height_photoresistor:7, ultrasonic:0.78
A1:335 , A2:301 , A3:286 , A4:193 , A5:193 , height_photoresistor:7, ultrasonic:0.81
A1:335 , A2:296 , A3:279 , A4:192 , A5:192 , height_photoresistor:7, ultrasonic:0.76
A1:333 , A2:293 , A3:268 , A4:192 , A5:191 , height_photoresistor:7, ultrasonic:0.87
A1:331 , A2:283 , A3:263 , A4:189 , A5:191 , height_photoresistor:7, ultrasonic:0.76
A1:332 , A2:270 , A3:263 , A4:189 , A5:190 , height_photoresistor:7, ultrasonic:0.75
A1:330 , A2:270 , A3:262 , A4:190 , A5:190 , height_photoresistor:7, ultrasonic:0.78
A1:322 , A2:261 , A3:261 , A4:189 , A5:190 , height_photoresistor:7, ultrasonic:0.75
A1:309 , A2:240 , A3:255 , A4:186 , A5:190 , height_photoresistor:7, ultrasonic:0.88
A1:300 , A2:233 , A3:244 , A4:181 , A5:188 , height_photoresistor:7, ultrasonic:0.73
A1:298 , A2:227 , A3:236 , A4:180 , A5:170 , height_photoresistor:7, ultrasonic:0.47
A1:297 , A2:226 , A3:239 , A4:162 , A5:171 , height_photoresistor:7, ultrasonic:1.55
A1:291 , A2:219 , A3:240 , A4:174 , A5:146 , height_photoresistor:7, ultrasonic:0.63
A1:286 , A2:216 , A3:238 , A4:171 , A5:161 , height_photoresistor:7, ultrasonic:1.65
A1:283 , A2:209 , A3:237 , A4:171 , A5:157 , height_photoresistor:7, ultrasonic:0.23
A1:278 , A2:209 , A3:236 , A4:170 , A5:149 , height_photoresistor:7, ultrasonic:7.43
A1:272 , A2:200 , A3:231 , A4:164 , A5:148 , height_photoresistor:7, ultrasonic:-3.30
A1:268 , A2:198 , A3:225 , A4:161 , A5:139 , height_photoresistor:7, ultrasonic:7.14
A1:266 , A2:199 , A3:222 , A4:159 , A5:126 , height_photoresistor:7, ultrasonic:9.18
A1:265 , A2:198 , A3:225 , A4:162 , A5:114 , height_photoresistor:7, ultrasonic:0.03
A1:260 , A2:199 , A3:228 , A4:149 , A5:123 , height_photoresistor:7, ultrasonic:-2.91
A1:251 , A2:201 , A3:226 , A4:161 , A5:101 , height_photoresistor:7, ultrasonic:9.46
A1:256 , A2:210 , A3:237 , A4:159 , A5:97 , height_photoresistor:7, ultrasonic:2.48
A1:273 , A2:234 , A3:228 , A4:158 , A5:97 , height_photoresistor:7, ultrasonic:6.27
A1:285 , A2:254 , A3:270 , A4:177 , A5:96 , height_photoresistor:7, ultrasonic:2.53
A1:293 , A2:244 , A3:257 , A4:177 , A5:94 , height_photoresistor:7, ultrasonic:1.64
A1:334 , A2:299 , A3:310 , A4:206 , A5:96 , height_photoresistor:7, ultrasonic:2.44
A1:347 , A2:314 , A3:324 , A4:219 , A5:94 , height_photoresistor:7, ultrasonic:1.19
A1:344 , A2:314 , A3:323 , A4:219 , A5:95 , height_photoresistor:7, ultrasonic:0.73
A1:346 , A2:315 , A3:323 , A4:219 , A5:94 , height_photoresistor:7, ultrasonic:0.42
A1:346 , A2:314 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:344 , A2:314 , A3:322 , A4:219 , A5:94 , height_photoresistor:7, ultrasonic:0.42
A1:345 , A2:314 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.73
A1:344 , A2:314 , A3:323 , A4:219 , A5:94 , height_photoresistor:7, ultrasonic:0.76
A1:345 , A2:313 , A3:322 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:345 , A2:315 , A3:323 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.75
A1:344 , A2:314 , A3:324 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.75
A1:344 , A2:314 , A3:322 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.73
A1:344 , A2:315 , A3:323 , A4:221 , A5:93 , height_photoresistor:7, ultrasonic:0.85
A1:345 , A2:313 , A3:323 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.27
A1:347 , A2:315 , A3:323 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.75
A1:347 , A2:316 , A3:323 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:346 , A2:313 , A3:322 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:315 , A3:322 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.85
A1:346 , A2:314 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.69
A1:347 , A2:314 , A3:322 , A4:219 , A5:94 , height_photoresistor:7, ultrasonic:0.73
A1:346 , A2:315 , A3:323 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:345 , A2:315 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.73
A1:347 , A2:315 , A3:321 , A4:218 , A5:93 , height_photoresistor:7, ultrasonic:0.39
A1:345 , A2:315 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.73
A1:345 , A2:314 , A3:323 , A4:219 , A5:94 , height_photoresistor:7, ultrasonic:0.73
A1:346 , A2:315 , A3:322 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:346 , A2:315 , A3:324 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:346 , A2:314 , A3:322 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.83
A1:347 , A2:315 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:315 , A3:324 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.39
A1:346 , A2:315 , A3:324 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.69
A1:347 , A2:315 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:346 , A2:314 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.30
A1:346 , A2:315 , A3:322 , A4:219 , A5:94 , height_photoresistor:7, ultrasonic:0.73
A1:348 , A2:315 , A3:323 , A4:221 , A5:93 , height_photoresistor:7, ultrasonic:0.76
A1:346 , A2:315 , A3:322 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:314 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.83
A1:347 , A2:315 , A3:324 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:314 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.39
A1:347 , A2:315 , A3:323 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:316 , A3:323 , A4:221 , A5:95 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:314 , A3:322 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:348 , A2:315 , A3:324 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:315 , A3:323 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.76
A1:346 , A2:315 , A3:322 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.73
A1:348 , A2:315 , A3:323 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.85
A1:346 , A2:315 , A3:322 , A4:220 , A5:95 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:315 , A3:323 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.42
A1:348 , A2:315 , A3:324 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.73
A1:347 , A2:314 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.32
A1:348 , A2:315 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.75
A1:347 , A2:316 , A3:324 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:346 , A2:315 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.27
A1:348 , A2:316 , A3:324 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.73
A1:347 , A2:315 , A3:323 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.39
A1:346 , A2:315 , A3:322 , A4:220 , A5:92 , height_photoresistor:7, ultrasonic:0.28
A1:348 , A2:315 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.88
A1:347 , A2:315 , A3:324 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:315 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.42
A1:347 , A2:315 , A3:322 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.73
A1:345 , A2:315 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.32
A1:346 , A2:314 , A3:322 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.27
A1:346 , A2:315 , A3:324 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:344 , A2:314 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.30
A1:348 , A2:316 , A3:322 , A4:218 , A5:94 , height_photoresistor:7, ultrasonic:0.69
A1:347 , A2:315 , A3:324 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.73
A1:347 , A2:315 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.27
A1:348 , A2:315 , A3:324 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.32
A1:347 , A2:315 , A3:324 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.73
A1:347 , A2:315 , A3:323 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.87
A1:349 , A2:316 , A3:324 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:348 , A2:315 , A3:324 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.32
A1:348 , A2:315 , A3:323 , A4:219 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:349 , A2:316 , A3:324 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:315 , A3:324 , A4:221 , A5:95 , height_photoresistor:7, ultrasonic:0.28
A1:349 , A2:315 , A3:324 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.32
A1:349 , A2:315 , A3:324 , A4:222 , A5:93 , height_photoresistor:7, ultrasonic:0.73
A1:347 , A2:314 , A3:323 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.73
A1:347 , A2:315 , A3:323 , A4:221 , A5:93 , height_photoresistor:7, ultrasonic:0.39
A1:349 , A2:316 , A3:324 , A4:222 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:346 , A2:315 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:348 , A2:315 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:347 , A2:316 , A3:324 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.73
A1:348 , A2:314 , A3:322 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.28
A1:348 , A2:315 , A3:323 , A4:219 , A5:93 , height_photoresistor:7, ultrasonic:0.71
A1:346 , A2:315 , A3:323 , A4:219 , A5:94 , height_photoresistor:7, ultrasonic:0.81
A1:347 , A2:315 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.32
A1:348 , A2:316 , A3:324 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.85
A1:346 , A2:316 , A3:323 , A4:220 , A5:94 , height_photoresistor:7, ultrasonic:0.32
A1:349 , A2:315 , A3:323 , A4:220 , A5:93 , height_photoresistor:7, ultrasonic:0.28
A1:348 , A2:316 , A3:324 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.76
A1:346 , A2:315 , A3:323 , A4:221 , A5:94 , height_photoresistor:7, ultrasonic:0.28
