A1:348 , A2:306 , A3:322 , A4:234 , A5:238 , height_photoresistor:7, ultrasonic:0.73
A1:349 , A2:305 , A3:322 , A4:235 , A5:237 , height_photoresistor:7, ultrasonic:0.73
A1:348 , A2:306 , A3:322 , A4:235 , A5:239 , height_photoresistor:7, ultrasonic:0.83
A1:348 , A2:305 , A3:321 , A4:234 , A5:237 , height_photoresistor:7, ultrasonic:0.78
A1:349 , A2:305 , A3:321 , A4:234 , A5:236 , height_photoresistor:7, ultrasonic:0.75
A1:347 , A2:305 , A3:321 , A4:235 , A5:236 , height_photoresistor:7, ultrasonic:0.76
A1:347 , A2:306 , A3:321 , A4:233 , A5:237 , height_photoresistor:7, ultrasonic:0.73
A1:348 , A2:305 , A3:321 , A4:234 , A5:237 , height_photoresistor:7, ultrasonic:0.76
A1:347 , A2:302 , A3:322 , A4:234 , A5:236 , height_photoresistor:7, ultrasonic:0.73
A1:347 , A2:304 , A3:321 , A4:234 , A5:237 , height_photoresistor:7, ultrasonic:0.85
A1:346 , A2:305 , A3:322 , A4:234 , A5:237 , height_photoresistor:7, ultrasonic:0.75
A1:347 , A2:305 , A3:320 , A4:234 , A5:237 , height_photoresistor:7, ultrasonic:0.76
A1:345 , A2:305 , A3:320 , A4:232 , A5:238 , height_photoresistor:7, ultrasonic:0.73
A1:346 , A2:305 , A3:322 , A4:234 , A5:236 , height_photoresistor:7, ultrasonic:0.75
A1:346 , A2:306 , A3:321 , A4:234 , A5:236 , height_photoresistor:7, ultrasonic:0.73
A1:347 , A2:302 , A3:318 , A4:229 , A5:230 , height_photoresistor:7, ultrasonic:0.75
A1:340 , A2:297 , A3:312 , A4:224 , A5:227 , height_photoresistor:7, ultrasonic:0.85
A1:334 , A2:291 , A3:306 , A4:222 , A5:227 , height_photoresistor:7, ultrasonic:0.73
A1:332 , A2:288 , A3:286 , A4:221 , A5:227 , height_photoresistor:7, ultrasonic:0.73
A1:336 , A2:281 , A3:291 , A4:222 , A5:228 , height_photoresistor:7, ultrasonic:0.75
A1:337 , A2:290 , A3:301 , A4:224 , A5:231 , height_photoresistor:7, ultrasonic:0.71
A1:343 , A2:298 , A3:314 , A4:226 , A5:232 , height_photoresistor:7, ultrasonic:0.73
A1:344 , A2:303 , A3:318 , A4:229 , A5:234 , height_photoresistor:7, ultrasonic:0.76
A1:348 , A2:304 , A3:319 , A4:233 , A5:237 , height_photoresistor:7, ultrasonic:0.83
A1:349 , A2:307 , A3:323 , A4:235 , A5:237 , height_photoresistor:7, ultrasonic:0.78
A1:349 , A2:306 , A3:324 , A4:236 , A5:237 , height_photoresistor:7, ultrasonic:0.71
A1:351 , A2:307 , A3:323 , A4:236 , A5:238 , height_photoresistor:7, ultrasonic:0.75
