A1:377 , A2:294 , A3:297 , A4:193 , A5:187 , height_photoresistor:7, ultrasonic:0.08

A1:379 , A2:294 , A3:296 , A4:192 , A5:189 , height_photoresistor:7, ultrasonic:-0.03

A1:379 , A2:294 , A3:298 , A4:192 , A5:186 , height_photoresistor:7, ultrasonic:0.08

A1:377 , A2:294 , A3:297 , A4:192 , A5:186 , height_photoresistor:7, ultrasonic:-0.01

A1:378 , A2:294 , A3:297 , A4:192 , A5:185 , height_photoresistor:7, ultrasonic:-0.04

A1:379 , A2:294 , A3:297 , A4:193 , A5:187 , height_photoresistor:7, ultrasonic:-0.35

A1:377 , A2:294 , A3:297 , A4:193 , A5:188 , height_photoresistor:7, ultrasonic:-0.03

A1:378 , A2:294 , A3:298 , A4:191 , A5:187 , height_photoresistor:7, ultrasonic:0.08

A1:379 , A2:294 , A3:297 , A4:193 , A5:187 , height_photoresistor:7, ultrasonic:-0.03

A1:377 , A2:294 , A3:297 , A4:192 , A5:186 , height_photoresistor:7, ultrasonic:-0.04

A1:378 , A2:294 , A3:297 , A4:192 , A5:187 , height_photoresistor:7, ultrasonic:-0.06

A1:378 , A2:295 , A3:296 , A4:193 , A5:187 , height_photoresistor:7, ultrasonic:-0.04

A1:378 , A2:294 , A3:297 , A4:194 , A5:187 , height_photoresistor:7, ultrasonic:0.08

A1:378 , A2:293 , A3:298 , A4:193 , A5:186 , height_photoresistor:7, ultrasonic:-0.04

A1:379 , A2:295 , A3:298 , A4:193 , A5:187 , height_photoresistor:7, ultrasonic:-0.03

A1:378 , A2:294 , A3:297 , A4:193 , A5:186 , height_photoresistor:7, ultrasonic:-0.04

A1:379 , A2:294 , A3:296 , A4:193 , A5:187 , height_photoresistor:7, ultrasonic:-0.04

A1:378 , A2:294 , A3:298 , A4:193 , A5:188 , height_photoresistor:7, ultrasonic:0.13

A1:377 , A2:294 , A3:297 , A4:192 , A5:187 , height_photoresistor:7, ultrasonic:-0.04

A1:378 , A2:294 , A3:297 , A4:192 , A5:186 , height_photoresistor:7, ultrasonic:0.11

A1:378 , A2:293 , A3:297 , A4:193 , A5:186 , height_photoresistor:7, ultrasonic:-0.04

