A1:400 , A2:348 , A3:370 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.42

A1:398 , A2:348 , A3:370 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.43

A1:399 , A2:348 , A3:370 , A4:218 , A5:169 , height_photoresistor:7, ultrasonic:-1.31

A1:399 , A2:349 , A3:370 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.43

A1:398 , A2:348 , A3:370 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.40

A1:398 , A2:348 , A3:370 , A4:218 , A5:169 , height_photoresistor:7, ultrasonic:-1.30

A1:399 , A2:349 , A3:371 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.45

A1:398 , A2:348 , A3:370 , A4:217 , A5:170 , height_photoresistor:7, ultrasonic:-1.43

A1:398 , A2:347 , A3:370 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.40

A1:400 , A2:349 , A3:370 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.31

A1:399 , A2:348 , A3:370 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.45

A1:398 , A2:347 , A3:368 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.88

A1:399 , A2:349 , A3:370 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.28

A1:399 , A2:349 , A3:370 , A4:219 , A5:168 , height_photoresistor:7, ultrasonic:-1.43

A1:398 , A2:348 , A3:369 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.45

A1:400 , A2:349 , A3:370 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.31

A1:399 , A2:349 , A3:371 , A4:220 , A5:170 , height_photoresistor:7, ultrasonic:-1.26

A1:398 , A2:348 , A3:369 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.45

A1:400 , A2:349 , A3:370 , A4:218 , A5:169 , height_photoresistor:7, ultrasonic:-1.45

A1:400 , A2:348 , A3:371 , A4:220 , A5:169 , height_photoresistor:7, ultrasonic:-1.31

A1:399 , A2:348 , A3:370 , A4:218 , A5:169 , height_photoresistor:7, ultrasonic:-1.43

A1:400 , A2:349 , A3:370 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.45

A1:399 , A2:348 , A3:370 , A4:220 , A5:169 , height_photoresistor:7, ultrasonic:-1.31

A1:398 , A2:348 , A3:370 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.40

A1:400 , A2:349 , A3:369 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.43

A1:400 , A2:349 , A3:371 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.43

A1:399 , A2:349 , A3:370 , A4:218 , A5:170 , height_photoresistor:7, ultrasonic:-1.31

A1:399 , A2:348 , A3:370 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.42

A1:400 , A2:349 , A3:371 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.43

A1:399 , A2:349 , A3:370 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.30

A1:399 , A2:349 , A3:369 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.43

A1:400 , A2:349 , A3:371 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.40

A1:398 , A2:348 , A3:370 , A4:218 , A5:170 , height_photoresistor:7, ultrasonic:-1.31

A1:399 , A2:348 , A3:369 , A4:219 , A5:169 , height_photoresistor:7, ultrasonic:-1.43

A1:400 , A2:349 , A3:371 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.40

A1:399 , A2:348 , A3:370 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.31

A1:398 , A2:348 , A3:370 , A4:218 , A5:170 , height_photoresistor:7, ultrasonic:-1.43

A1:400 , A2:350 , A3:371 , A4:220 , A5:171 , height_photoresistor:7, ultrasonic:-1.45

A1:399 , A2:349 , A3:371 , A4:220 , A5:171 , height_photoresistor:7, ultrasonic:-1.26

A1:400 , A2:349 , A3:370 , A4:220 , A5:170 , height_photoresistor:7, ultrasonic:-1.31

A1:401 , A2:349 , A3:371 , A4:220 , A5:170 , height_photoresistor:7, ultrasonic:-1.45

A1:398 , A2:349 , A3:371 , A4:221 , A5:171 , height_photoresistor:7, ultrasonic:-1.42

A1:399 , A2:349 , A3:370 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.31

A1:400 , A2:349 , A3:371 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.43

A1:399 , A2:349 , A3:371 , A4:220 , A5:171 , height_photoresistor:7, ultrasonic:-1.43

A1:400 , A2:350 , A3:370 , A4:219 , A5:170 , height_photoresistor:7, ultrasonic:-1.28

A1:401 , A2:350 , A3:371 , A4:220 , A5:171 , height_photoresistor:7, ultrasonic:-1.45

A1:398 , A2:351 , A3:371 , A4:221 , A5:171 , height_photoresistor:7, ultrasonic:-1.43

A1:400 , A2:349 , A3:369 , A4:220 , A5:170 , height_photoresistor:7, ultrasonic:-1.31

